HolderAddress,Balance,PendingBalanceUpdate
0x7734280a4337f37fbf4651073db7c28c80b339e9,396073.6595,Yes
0x357b7e9acd156c0f930b75c6ae6a42f3d9173042,101329.6864,No
0x7b0d30aa6ad2f75a8d95b3feabe2b40877324c6f,0.000155,No
0xb17beaed0825bb1c6a8ffe5ef7e9e317402d9efe,991.144564,No
0x758e1bc1fb624ea8b529576c8a8c83d3e80b3ca9,0.906675,No
0xf3b0badaf1ffc24b30056e97db9611cc14f5d891,5.597117,No
0xc827fe3e225c7cc1178c4cd7fc6d0f6f6be82b18,1.002049,No
0x87fc1313880d579039ac48db8b25428ed5f33c4a,4236.507937,No
0x010afb8548a5d1a3a3d62f58ca0a5a1329974206,1.00E-06,No
0x1f3ba81422d673e0c08520e431e9b7b4853c2003,345.717233,No
0xafd71fdd1a526d2e6e3d28f41ed1ccd1d8716617,22.25719,No
0x75af1d180910c304efc185886f220d474aebceb7,29810.55964,No
0xc779f7bd848b56a606d8c61502da8264b11f420d,4.00E-06,No
0xa5016ed83ed77f1113821aefc3e0c7fd61a051e6,101.281033,No
0x7202dc76b310f2d0d94a2417c30af59f3670be4e,333.199418,No
0xe972e34eff5b1c3d6fe07e13dac3e482e70a3e9d,4043.298442,No
0x6b7d9cdf696e2e9244fe1752f158c72edd1dc202,50.56621,No
0x680800f9e4a4bf3d61856beb12f58f0f62c99257,1300.000233,No
0xc65902932401aac58984885d2708e75bb5f0de4d,90.200018,No
0xe546338e554e0202cf8eeeea4e8cf581044a50f3,0.20224,No
0x5f5130215a9be6b34a986fab0679a61dbba1bddc,0.000802,No
0x7641ab148dddabe83d568500dd818977d21cd851,119.193017,No
0xfd5f301d4de02954a833899c0f88b4308b508d74,0.001811,No
0x137d567164b639b43ba8ddc8838e7683e7452e17,0.069842,No
0x91e28ec80951dd68418485a67f01f5745663f608,0.000104,No
0xba129b7f459adc15591a875af2d5b355567c94ca,1155.361273,No
0xd6b87ab9a4a2f368d4ee1ea45ea560a6e64e78ed,362.366721,No
0x14d2d096ef312d519c877bf2426ad43dfd6adb74,4.683873,No
0x15dee0abca804152b83d8425604703b0f761bc44,554.340992,No
0x681d8643e833bc0a8e29ad67e6a0e62918fec341,4587.506969,No
0xec3702fbb65905335011463b2f3115b8cbf18357,63274.91998,No
0x3bd73cc226623b459a78bf3a6694cbfb1e742ed5,1.00E-05,No
0xc0b53221a7dbcbce68441c26ea4da73266d6bc20,28030.07555,No
0x8699df387c948171aa64e6c455e13362b1904d69,171.010009,No
0x1dc26d2805a67fd586293ccffff8090508741fbb,214.293844,No
0x2cd4a870ae5f845919d893e11865b78f7bca32c7,979.476626,No
0xd8e8b9d9351f05e23672714a2f8e518f216d20e7,404.317737,No
0x245702b4e131f9625606ab5f6f53db9b9e58acb5,0.004343,No
